summary_name,is_Terminal,is_InICU,is_OnVent,duration_All,duration_InGeneralWard,duration_OffVentInICU,duration_OnVentInICU,duration_InGeneralWard+Declining,duration_OffVentInICU+Declining,duration_OnVentInICU+Declining,duration_InGeneralWard+Recovering,duration_OffVentInICU+Recovering,duration_OnVentInICU+Recovering
count,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00,23408.00
mean,0.01,0.18,0.00,5.94,5.58,0.36,0.00,0.77,0.02,0.00,4.81,0.35,0.00
percentile_00.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
percentile_01.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_05.000,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_10.000,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
percentile_25.000,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
percentile_50.000,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00
percentile_75.000,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00
percentile_90.000,0.00,1.00,0.00,12.00,11.00,2.00,0.00,4.00,0.00,0.00,9.00,2.00,0.00
percentile_95.000,0.00,1.00,0.00,13.00,12.00,2.00,0.00,6.00,0.00,0.00,11.00,2.00,0.00
percentile_99.000,0.00,1.00,0.00,18.00,16.00,4.00,0.00,8.00,0.00,0.00,12.00,4.00,0.00
percentile_100.000,1.00,1.00,0.00,24.00,21.00,5.00,0.00,9.00,5.00,0.00,12.00,5.00,0.00
