summary_name,is_Terminal,is_InICU,is_OnVent,duration_All,duration_InGeneralWard,duration_OffVentInICU,duration_OnVentInICU,duration_InGeneralWard+Declining,duration_OffVentInICU+Declining,duration_OnVentInICU+Declining,duration_InGeneralWard+Recovering,duration_OffVentInICU+Recovering,duration_OnVentInICU+Recovering
count,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00,3021.00
mean,1.00,1.00,0.95,13.22,4.22,2.82,6.18,4.22,2.82,6.18,0.00,0.00,0.00
percentile_00.000,1.00,1.00,0.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
percentile_01.000,1.00,1.00,0.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
percentile_05.000,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
percentile_10.000,1.00,1.00,1.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00
percentile_25.000,1.00,1.00,1.00,9.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00
percentile_50.000,1.00,1.00,1.00,12.00,4.00,3.00,4.00,4.00,3.00,4.00,0.00,0.00,0.00
percentile_75.000,1.00,1.00,1.00,17.00,6.00,4.00,9.00,6.00,4.00,9.00,0.00,0.00,0.00
percentile_90.000,1.00,1.00,1.00,23.00,7.00,5.00,16.00,7.00,5.00,16.00,0.00,0.00,0.00
percentile_95.000,1.00,1.00,1.00,26.00,8.00,5.00,18.00,8.00,5.00,18.00,0.00,0.00,0.00
percentile_99.000,1.00,1.00,1.00,29.00,9.00,5.00,21.00,9.00,5.00,21.00,0.00,0.00,0.00
percentile_100.000,1.00,1.00,1.00,36.00,9.00,5.00,22.00,9.00,5.00,22.00,0.00,0.00,0.00
