timestep,n_InGeneralWard,n_OffVentInICU,n_OnVentInICU,n_TERMINAL,n_discharged_InGeneralWard,n_discharged_OffVentInICU,n_discharged_OnVentInICU
0.00,371.10,110.00,95.00,10.00,35.00,0.00,0.00
1.00,440.00,125.00,96.10,11.10,45.00,0.00,0.00
2.00,531.10,135.00,101.10,15.00,51.10,0.00,0.00
3.00,601.10,150.00,105.00,20.00,60.00,0.00,0.00
4.00,665.00,165.00,105.00,20.00,75.00,0.00,0.00
5.00,745.00,181.10,105.00,20.00,76.10,0.00,0.00
6.00,833.30,200.00,110.00,25.00,80.00,0.00,0.00
7.00,920.00,220.00,110.00,21.10,91.10,0.00,0.00
8.00,992.20,237.20,111.10,25.00,100.00,0.00,0.00
9.00,1041.10,266.10,111.10,25.00,106.10,0.00,0.00
10.00,1105.00,295.00,111.10,21.10,106.10,0.00,0.00
11.00,1140.00,316.10,116.10,25.00,110.00,0.00,0.00
12.00,1166.10,340.00,116.10,20.00,120.00,0.00,0.00
13.00,1206.10,361.10,121.10,25.00,135.00,0.00,0.00
14.00,1237.20,391.10,130.00,25.00,120.00,0.00,0.00
15.00,1261.10,412.20,141.10,25.00,125.00,0.00,0.00
16.00,1270.00,422.20,150.00,25.00,131.10,0.00,0.00
17.00,1312.20,442.20,160.00,25.00,131.10,0.00,0.00
18.00,1370.00,477.20,170.00,25.00,135.00,0.00,0.00
19.00,1385.00,498.30,187.20,25.00,126.10,0.00,0.00
20.00,1447.20,531.10,206.10,25.00,135.00,0.00,0.00
21.00,1547.20,542.20,217.20,30.00,140.00,0.00,0.00
22.00,1621.10,561.10,240.00,30.00,155.00,0.00,0.00
23.00,1696.10,587.20,261.10,31.10,151.10,0.00,0.00
24.00,1777.20,606.10,275.00,31.10,161.10,0.00,0.00
25.00,1791.60,625.00,282.20,30.00,170.00,0.00,0.00
26.00,1826.10,651.10,305.00,35.00,167.20,0.00,0.00
27.00,1926.10,672.20,321.10,35.00,185.00,0.00,0.00
28.00,2050.00,681.10,330.00,40.00,190.00,0.00,0.00
29.00,2165.50,707.20,347.20,40.00,191.10,0.00,0.00
30.00,2263.30,740.00,358.30,45.00,196.10,0.00,0.00
31.00,2391.10,777.20,383.30,41.10,206.10,0.00,0.00
32.00,2456.10,803.30,403.30,45.00,215.00,0.00,0.00
33.00,2466.10,836.10,410.00,46.10,225.00,0.00,0.00
34.00,2495.00,877.20,422.20,46.10,236.10,0.00,0.00
35.00,2600.50,906.10,455.00,50.00,240.00,0.00,0.00
36.00,2691.10,955.00,457.20,50.00,241.10,0.00,0.00
37.00,2731.10,989.40,476.10,55.00,240.00,0.00,0.00
38.00,2783.30,1012.70,493.30,55.00,255.00,0.00,0.00
39.00,2850.00,1061.10,507.20,55.00,260.00,0.00,0.00
